Date,Open,High,Low,Last,Close,Volume
2-10-2011,213.692993,221.035004,212.386993,218.244995,190.795502,3226427
2-11-2011,220.421005,230.770996,217.235992,226.505997,198.017471,4437039
2-14-2011,235.104004,241.664001,235.085007,239.190994,209.10704,3987585
2-15-2011,239.240005,246.957993,237.677002,244.949005,214.140823,4041713
2-16-2011,244.731003,246.957993,241.020996,245.067993,214.244873,2192921
2-17-2011,244.365005,248.541,242.436005,247.511993,216.38147,1756637
2-18-2011,247.352997,248.936005,237.132996,237.845001,207.930344,3095057
2-21-2011,239.240005,239.240005,224.636002,229.929993,201.010834,3484803
2-22-2011,227.921005,228.296997,222.350998,225.061996,196.755112,2586614
2-23-2011,223.804993,230.138,223.212006,226.477005,197.992142,2103944
2-24-2011,225.585999,225.923004,206.431,209.408997,183.070847,4309999
2-25-2011,214.108994,220.757996,212.050995,218.679993,191.175781,3016404
2-28-2011,221.035004,222.617996,208.766006,214.069,187.14473,8443534
3-1-2011,217.076996,226.378006,217.076996,225.664993,197.282242,3769279
3-3-2011,224.794998,234.233994,221.598999,232.610992,203.354645,5024013
3-4-2011,234.906006,236.272003,229.998993,231.483002,202.368515,3048534
3-7-2011,228.554001,228.733002,221.826004,223.063004,195.007523,2187615
3-8-2011,222.796005,229.940002,222.796005,229.554001,200.682129,1956225
3-9-2011,231.720993,232.768997,228.207993,229.929993,201.010834,1631957
3-10-2011,230.979004,232.412994,228.089005,230.285995,201.322067,1534965
3-11-2011,229.128006,231.522995,223.904007,229.039001,200.231918,1926531
3-14-2011,228.751999,232.313995,225.695007,231.315002,202.221664,1793998
3-15-2011,225.585999,229.276993,223.339996,226.268997,197.810318,1794756
3-16-2011,227.783005,231.503006,227.031006,230.078003,201.140213,1575029
3-17-2011,227.169006,229.791,225.229996,226.130005,197.688782,1394139
3-18-2011,227.278,228.039993,220.194,221.223007,193.398956,2028682
3-21-2011,223.410004,224.003006,220.559998,222.093994,194.160385,1425956
3-22-2011,223.389999,226.358002,223.389999,224.794998,196.521683,1743756
3-23-2011,223.212006,226.179993,222.746994,224.942993,196.651062,1814717
3-24-2011,226.615005,229.147995,226.615005,228.662994,199.903198,1006248
3-25-2011,231.552002,235.362,229.742004,233.867996,204.453537,1705642
3-28-2011,235.113998,242.395996,235.113998,241.475998,211.104645,2620937
3-29-2011,243.039001,246.630997,239.953003,245.216003,214.374268,2741372
3-30-2011,245.373993,248.936005,244.998993,246.770004,215.732803,1098712
3-31-2011,247.550995,249.332001,241.615005,246.858994,215.810593,1612329
4-1-2011,246.166,247.115997,244.186996,245.947998,215.014191,1228405
4-4-2011,244.186996,249.134003,244.186996,248.203995,216.98645,1029691
4-5-2011,248.541,253.755005,246.166,253.259995,221.406525,1759017
4-6-2011,255.209,257.484985,252.893997,256.268005,224.036224,2183264
4-7-2011,255.645004,257.622986,252.360001,255.585007,223.439117,1315295
4-8-2011,253.695007,254.675003,246.582001,248.332993,217.099197,1327752
4-11-2011,247.738998,247.738998,239.834,241.268005,210.922821,1485476
4-13-2011,245.373993,248.332993,238.449005,247.313995,216.208374,1447151
4-15-2011,247.352997,251.113007,243.406006,244.375,213.639038,1300053
4-18-2011,243.820999,249.727997,238.052994,239.031998,208.968048,1492809
4-19-2011,237.854996,240.179993,235.184006,238.112,208.163742,1319989
4-20-2011,240.703995,248.214005,240.319,247.619995,216.475906,1609494
4-21-2011,248.363007,249.311996,244.197006,246.136002,215.178543,860005
4-25-2011,245.373993,248.639999,244.613007,245.947998,215.014191,615703
4-26-2011,244.979004,250.716995,242.406006,249.639008,218.240967,994706
4-27-2011,249.628998,251.835007,246.028,246.938004,215.879684,1031450
4-28-2011,247.957001,249.095001,243.078995,243.731995,213.076904,871062
4-29-2011,243.276993,246.957993,240.625,243.218002,212.627563,808944
5-2-2011,245.373993,246.145996,241.417007,243.108994,212.532257,731494
5-3-2011,242.337006,242.723007,227.229004,230.227005,201.270477,1611475
5-4-2011,230.434006,232.610992,225.675003,229.643005,200.759933,1322698
5-5-2011,229.544006,232.313995,224.003006,224.932999,196.642349,1105736
5-6-2011,226.378006,239.171005,226.378006,237.647003,207.757248,2612579
5-9-2011,237.656998,238.003006,231.324997,233.134995,203.812744,911945
5-10-2011,232.710007,238.033005,231.779999,234.709,205.188766,1648720
5-11-2011,234.292999,239.834,234.145004,239.042007,208.976791,1540741
5-12-2011,237.261002,241.376999,234.550003,235.5,205.88028,1332568
5-13-2011,237.419998,244.384995,234.817001,239.615997,209.478592,1884425
5-16-2011,237.459,240.802994,234.490997,239.072006,209.003021,1504119
5-17-2011,239.438004,240.822998,233.501999,235.401001,205.793732,1113094
5-18-2011,234.897003,235.085007,226.279007,227.485992,198.874222,1406829
